// Table of correction between different time scales.
// Copied from http://stjarnhimlen.se/comp/time.html

// When updating, make sure the table starts after the line 
// of ===== just as it is now. This line is used to find
// the start of the real table.
TT = TAI+32.184s ==> UT-UTC = TAI-UTC - (TT-UT) + 32.184s

Starting at    TAI-UTC   GPS-UTC   TT-UT1    UT1-UTC
====================================================
1972-01-01       +10       -       +42.23    -0.05
1972-07-01       +11       -       +42.80    +0.38
1973-01-01       +12       -       +43.37    +0.81
1973-07-01        "        -       +43.93    +0.25
1974-01-01       +13       -       +44.49    +0.69
1974-07-01        "        -       +44.99    +0.19
1975-01-01       +14       -       +45.48    +0.70
1975-07-01        "        -       +45.97    +0.21
1976-01-01       +15       -       +46.46    +0.72
1976-07-01        "        -       +46.99    +0.19
1977-01-01       +16       -       +47.52    +0.66
1977-07-01        "        -       +48.03    +0.15
1978-01-01       +17       -       +48.53    +0.65
1978-07-01        "        -       +49.06    +0.12
1979-01-01       +18       -       +49.59    +0.59
1979-07-01        "        -       +50.07    +0.11
1980-01-01       +19       0       +50.54    +0.64
1980-07-01        "        "       +50.96    +0.22
1981-01-01        "        "       +51.38    -0.20
1981-07-01       +20       1       +51.78    +0.40
1982-01-01        "        "       +52.17    +0.01
1982-07-01       +21       2       +52.57    +0.61
1983-01-01        "        "       +52.96    +0.22
1983-07-01       +22       3       +53.38    +0.80
1984-01-01        "        "       +53.79    +0.39
1984-07-01        "        "       +54.07    +0.11
1985-01-01        "        "       +54.34    -0.16
1985-07-01       +23       4       +54.61    +0.57
1986-01-01        "        "       +54.87    +0.31
1986-07-01        "        "       +55.10    +0.08
1987-01-01        "        "       +55.32    -0.14
1987-07-01        "        "       +55.57    -0.39
1988-01-01       +24       5       +55.82    +0.36
1988-07-01        "        "       +56.06    +0.12
1989-01-01        "        "       +56.30    -0.12
1989-07-01        "        "       +56.58    -0.40
1990-01-01       +25       6       +56.86    +0.32
1990-07-01        "        "       +57.22    -0.04
1991-01-01       +26       7       +57.57    +0.61
1991-07-01        "        "       +57.94    +0.24
1992-01-01        "        "       +58.31    -0.13
1992-07-01       +27       8       +58.72    +0.46
1993-01-01        "        "       +59.12    +0.06
1993-07-01       +28       9       +59.55    +0.63
1994-01-01        "        "       +59.98    +0.20
1994-07-01       +29      10       +60.38    +0.80
1995-01-01        "        "       +60.78    +0.40
1995-07-01        "        "       +61.20    -0.02
1996-01-01       +30      11       +61.63    +0.55
1996-07-01        "        "       +61.96    +0.22
1997-01-01        "        "       +62.29    -0.11
1997-07-01       +31      12       +62.63    +0.55
1998-01-01        "        "       +62.97    +0.21
1998-07-01        "        "       +63.22    -0.04
1999-01-01       +32      13       +63.47    +0.71
1999-07-01        "        "       +63.66    +0.52
2000-01-01        "        "       +63.82    +0.36
2000-07-01        "        "       +63.98    +0.20
2001-01-01        "        "       +64.09    +0.09
2001-07-01        "        "       +64.20    -0.02
2002-01-01        "        "       +64.30    -0.12
2002-07-01        "        "       +64.41    -0.23
2003-01-01        "        "       +64.47    -0.29
2003-07-01        "        "       +64.55    -0.37
2004-01-01        "        "       +64.57    -0.39
2004-07-01        "        "       +64.65    -0.47
2005-01-01        "        "       +64.68    -0.50
2005-07-01        "        "       +64.80    -0.62
2006-01-01       +33      14       +64.85    +0.33
2006-07-01        "        "       +64.99    +0.19
2007-01-01        "        "       +65.15    +0.03
2007-07-01        "        "       +65.34    -0.16
2008-01-01        "        "       +65.45    -0.27
2008-07-01        "        "       +65.63    -0.45
2009-01-01       +34      14       +65.70    +0.48 (pred)
2010-01-01        "        "       +66.5     -0.3  (pred)
2011-01-01        ?        ?       +67.1
2012-01-01        ?        ?       +68
